,0
LUV,1.0285292651446136
LVS,1.1238349738045712
LW,0.7854342537589933
LYV,1.2093609142660617
MA,1.1390348729288489
MAA,0.7827840050116484
MAR,1.091253644335041
MAS,1.029671787873148
MCD,0.6648049522614592
MCHP,1.5628338545531593
MCK,0.6615923265420802
MCO,1.1660869643465486
MDLZ,0.653960874688899
MET,1.132591651564797
META,1.339669461503148
MGM,1.5674361206628578
MHK,1.2384104599121897
MKC,0.537697626376889
MKTX,0.8014150871079859
MLM,1.0577210703778817
MMC,0.7922287253649117
MMM,0.8233373308962483
MNST,0.7992232730267982
MO,0.5245836638848694
MOH,0.8013976616085322
MOS,1.1602737836914012
MPC,1.1804459850242899
MPWR,1.7521235608977557
MRK,0.5094264410146823
MS,1.254451055151785
MSCI,1.200262995162904
