,history_beta
DOC,0.9861443409440189
DOV,1.0913709366560898
DPZ,0.7804333848579899
DRI,0.9998530588264416
DTE,0.6261262766880915
DUK,0.5450028690839918
DVA,0.6527367741888225
DVN,1.2147278698052808
DXC,1.2635929265699082
DXCM,1.1235315549411642
EA,0.9096492300579059
EBAY,1.0744393737958748
ECL,0.9042850896146851
ED,0.4335849300135801
EFX,0.9501657250288088
EG,0.7868164511870874
EHC,0.9094260897262615
EIX,0.7012516967030362
EL,0.9102836417359924
ELV,0.8337406839369715
EMN,1.1218627753423853
EMR,1.0752318350093442
ENPH,1.6103329833199371
EOG,1.0707150262835017
EP,0.3437421568244687
EPAM,1.339091238846239
EQIX,0.9888943103065329
EQR,0.9640127203625303
EQT,0.9248506110221528
ERIE,0.6554845413023008
ES,0.5644851736867551
ESS,0.8775191920305735
ETN,1.1174313984401993
ETR,0.606901576296331
ETSY,1.4276563177789825
EVHC,0.750247468444947
EVRG,0.6388448063377978
EW,0.7891866822967533
EXC,0.7005736580582634
EXPD,0.9349822821456177
EXPE,1.236645942498985
EXR,0.9226660547548885
F,1.1945896979160342
FANG,1.225751392151278
FAST,1.0044327479370643
FCPT,0.9809404942664226
FCX,1.4863620212022377
FDS,0.9367910954025782
FDX,1.0363163907526032
FE,0.6379670163825347
FFIV,1.1595386211715522
FHN,1.2569448353211023
FI,1.009545124746321
FICO,1.146088964025192
FIS,0.9717574026341106
FITB,1.4896997865711623
FL,1.0202727602258124
FLR,1.353195615242724
FLS,1.2777804672408488
FMC,1.1051519593108607
FMCC,0.9856202919059671
FNMA,0.977386376905973
FOSL,1.2323635346334143
FRT,0.9398441111826191
FSLR,1.2194404426286929
FTI,1.2822404568119905
FTNT,1.2065006786270087
FTV,1.0179228938435603
GD,0.7710119895887849
GDDY,1.078447424623756
GE,1.1389190388542643
GEHC,0.9432051985472005
GEN,0.8796270409465214
GHC,0.7538192480411317
GILD,0.7617891417086274
GIS,0.3627484116605522
GL,1.0305399057626992
GLW,1.2443313527382651
GM,1.2319233440449424
GME,1.0954550580501854
GNRC,1.3723189330735182
GNW,1.7091151301067977
GOOG,1.0657152756056056
GOOGL,1.0675162709605568
GPC,0.83319975105424
GPN,1.0571466660881719
GRMN,0.9316422987595769
GS,1.2883312010427999
GT,1.493694289532326
GWW,0.8892016018406689
HAL,1.3114112927719248
HAS,0.8556542418650362
HBAN,1.3579755077791744
HBI,1.113493691595052
HD,1.0039124362232106
HES,1.2000354403468563
HIG,1.3260001983180971
HII,0.7747135049138284
HOG,1.291521976408291
HOLX,0.8783913479005059
HON,1.0279745012944204
HP,1.3179199005876832
HPE,1.1635063738931155
HPQ,1.133009694385272
HRB,0.8729163230894736
HRL,0.40992815985104786
HSIC,0.7497356977457567
HST,1.3336815754622857
HSY,0.49193667679757946
HUBB,0.9714024347920093
HUM,0.7782226979702672
HWM,1.2553093865823814
IAC,1.0627614038980917
IBM,0.8296219997539993
ICE,1.0426477829283725
IDXX,0.9173696943444103
IEX,0.9601073247608704
IFF,0.8334207143365762
IGT,1.3212416170262467
ILMN,1.135945635082375
INCY,1.1658537791190984
INTC,1.2519122326009753
INTU,1.1780408895762162
INVH,0.8857050019674669
IP,1.103286886866342
IPG,1.1917598079974718
IPGP,1.1574747457115264
IQV,1.1355329104622067
IRM,0.8057950673762169
ISRG,1.1248346795091109
IT,1.0383858011213498
ITT,1.1085686661956866
ITW,0.9676724604791721
IVZ,1.6055745071050729
J,1.1455075818976939
JBHT,0.9605907943240751
JBL,1.4382521623076912
JCI,0.9962561029398974
JEF,1.2495721749934623
JKHY,0.8423425671960935
JNJ,0.5238552672027141
JNPR,1.1448629057213906
JNY,1.5264236627988694
JPM,1.3251040120319895
K,0.3960293699911975
KBH,1.4367038810020505
KDP,0.5366910486840356
KEY,1.480628523108566
KEYS,1.1107173869298297
KHC,0.5801826619400309
KIM,1.144035794884978
KKR,1.4113716661777311
KLAC,1.447447001960833
KMB,0.4688436459549149
KMX,1.174758369187376
KO,0.5553685536659095
KR,0.4726585935550543
KSS,1.1574036110717554
L,1.0416141598326565
LDOS,0.7297460064794226
LEG,1.0515087626712196
LEN,1.36071774929848
LH,0.7279995357605397
LHX,0.8223866514851347
LII,0.955481215173219
LIN,0.9286507244034344
LKQ,1.0410343837613971
LLY,0.6896488166007246
LMT,0.6045901198164839
LNC,1.8318549290991706
LNT,0.5883044743310224
LOW,1.0564521966321179
LPX,1.503231430561886
LRCX,1.5557832485110443
LULU,1.226236969859789
LUMN,0.9097638746082299
LUV,0.9848061896822793
LVS,1.3749385564684173
LW,0.8632317638604073
LYB,1.218879196990964
LYV,1.3213345525653573
M,1.3156944288341386
MA,1.1348867947963555
MAA,0.8924171111714577
MAC,1.2855222624212994
MAR,1.1341685985816687
MAS,1.1536330637195007
MAT,0.8617176197812769
MBI,1.4664902868784448
MCD,0.6230749384842466
MCHP,1.35381078104923
MCK,0.7075748513000661
MCO,1.146406982193551
MDLZ,0.6169735023014783
MDT,0.7497469246909334
MET,1.3489075772586536
META,1.3095260811228095
MGM,1.5351270209120071
MHK,1.1658007815293299
MKC,0.5171045918855716
MKTX,1.0408259350285927
MLM,1.031000927551052
MMC,0.8572945156416943
MMM,0.818993873395074
MNST,0.7826939687889004
MO,0.519800697087813
MOH,0.8590800702677699
MOLX,1.2887259075865212
MOS,1.2132956267347184
MPC,1.2305140542337611
MPWR,1.5066608082858486
MRK,0.6405017575691154
MRNA,0.8303563844833713
MS,1.6338269983566422
MSCI,1.1488956655805191
MSFT,1.1138961872701465
MSI,1.0633516245964978
MTB,1.0574414474776486
MTCH,1.0563162364047223
MTD,0.9356773199258739
MTG,1.599991882971521
MTW,1.6123233093267355
MU,1.591062746400166
MUR,1.2260866103032888
NAVI,1.2392800429443198
NBR,1.5462009395827296
NC,1.1617436869544742
NCLH,1.7671909929126783
NDAQ,1.0498628157468983
NDSN,1.1839097002481316
NEE,0.6415308262605733
NEM,0.41915742915749654
NFLX,1.0633378722587974
NFX,1.2788828615345977
NI,0.6623164950443174
NKE,0.9329573203911486
NKTR,1.3116863368195488
NMK,0.1944550372536146
NOC,0.6270925229030503
NOV,1.309047154553404
NOW,1.3735084812343612
NRG,0.9999991012424209
NSC,1.0318005920260116
NTAP,1.3248308515541394
NTRS,1.235745529696448
NUE,1.2400325448380451
NVDA,1.6502992174905171
NVR,0.9383381344735304
NWL,1.0385216986196966
NWS,1.0245502159740076
NWSA,1.027405742255227
NXPI,1.5095009768506318
NYT,0.9401227999871123
O,0.8552396717975694
ODFL,1.0102716071787008
ODP,1.421985046322037
OGN,0.7538774223099748
OI,1.2752326263353415
OKE,1.0876730393614706
OMC,0.9201658116258857
OMX,1.6123514412779945
ON,1.612150087995796
ORCL,1.0936532392979756
ORLY,0.7735677671286159
OTIS,0.7875443175605881
OXY,1.1860593725112625
PANW,1.0707629351746775
PARA,1.2710170628497206
PAYC,1.4491407840652588
