,0
DELL,1.1179664504744098
DFS,1.4362781241765954
DG,0.5581087143146255
DGX,0.6045508431139563
DHI,1.141977858982756
DHR,0.862534741865105
DIS,1.0057937338471572
DLR,0.8258367976480361
DLTR,0.7435375816090724
DOC,0.8983447071037626
DOV,1.0563191698466636
DPZ,0.6068078347277165
DRI,1.0953549683065744
DTE,0.6428755191638077
DUK,0.5360175439999174
DVA,0.6922624679541592
DVN,1.357670118994974
DXCM,1.0418109016290957
EA,0.676209038027316
EBAY,0.8824445707568419
ECL,1.003723121481205
ED,0.42453551508405923
EFX,1.010765527934522
ERIE,0.6258235353233002
EVRG,0.6348788025243832
EW,0.98678946873871
EXC,0.7337764948644606
EXPD,0.8096053691954224
EXPE,1.2676021502511121
EXR,0.7029235493137291
F,1.2001625640470814
FANG,1.165295948275984
FAST,0.9256924888585911
FCX,1.5781388601851472
FDS,0.8957863557922914
FDX,1.0507700129533974
FE,0.6433676776249386
FFIV,0.9685646371828662
FI,0.994198282121034
FICO,1.2728534324060694
FIS,1.0346202905041446
FITB,1.3146856489090006
FMC,1.0019246006051876
FSLR,1.0868858758077091
FTNT,1.214070721518285
FTV,0.9718613835461606
GD,0.7540640770661835
GDDY,1.0705429049028492
GE,1.1032493146170759
GEN,0.7042953881381946
GILD,0.5477308692416066
GIS,0.3057410078382945
GL,0.9308597082838885
GLW,1.1403576571441703
GM,1.2277212063328697
GNRC,1.4323083417520008
GOOG,1.1714794952315746
GPC,0.9009674983136826
GPN,1.2464321030655139
GS,1.1338565838332892
GWW,0.9033128190151489
HAL,1.3040844308739108
HAS,0.9435961741115403
HBAN,1.1399912649325783
HCA,0.9849146998876828
HD,0.9818883647833946
HES,1.1705338029291559
HIG,0.9074291526529074
HII,0.7209483551619457
HLT,1.0032851588859688
HOLX,0.7579529045628964
HON,0.930845936090254
HPE,1.1149336578970175
HPQ,1.162175139233896
HRL,0.3529881746123903
HSIC,0.7580746147142732
HST,1.126838364256843
HSY,0.4954653809267211
HUBB,1.0300742848272342
HUM,0.7052629205900814
HWM,1.267138269844677
IBM,0.795937369259091
ICE,0.7988323855447905
IDXX,1.0728598723840126
IEX,0.8787503301825677
IFF,0.9064985769488583
INCY,0.7178833784253903
INTC,1.2870902372444508
INTU,1.3566596925589978
IP,0.9584330247569203
IPG,1.0791490517415703
IQV,1.1462873673849439
IRM,0.8560579726696593
ISRG,1.212930274881811
IT,1.0444743043905542
ITW,0.9482925111890885
J,0.9579761003792875
JBHT,0.9060535922109849
JBL,1.2991262138479844
JKHY,0.7218244644903418
JNJ,0.48814464851097183
JNPR,0.8143471995267191
JPM,1.054264177635361
K,0.29405441988737824
KDP,0.47806502664784034
KEY,1.379432987222539
KHC,0.5891561280864045
KIM,1.0347051355603514
KKR,1.4147487603490192
KLAC,1.5962248597937303
KMB,0.43140183708333635
KMI,0.8732124345172603
KMX,1.220207504256584
KO,0.5667880945843786
KR,0.3240746026268877
L,0.9691998865710272
LDOS,0.7622863808501606
LHX,0.665893755475308
LII,0.9309910403501833
LKQ,1.1161285423386695
LLY,0.6722620850812185
LMT,0.5621106391560748
LNT,0.5468488474826554
LOW,1.0540252306008422
