,mkt_beta,smb_beta,hml_beta
CTRA,0.7832256510975761,0.06394725069883661,0.7124256284390043
CTSH,1.0365452530099233,0.004648767737019079,0.1370266582943683
CVS,0.7140009677411737,-0.1933205094307913,0.4611286491421907
CVX,0.9923501479047097,-0.10729595725897229,0.9244616998354146
CZR,1.849405438601682,1.2082790757897164,0.43312046900025736
D,0.5752266380335065,-0.33357992426307226,0.2569118830929682
DAL,1.2443165556980738,0.5311216802604728,0.7325973589196539
DE,0.9617449381125136,0.20757712273349177,0.5515235123531366
DECK,1.0924176220593234,0.6228382660382501,-0.06434134501040645
DELL,1.1786885191424838,-0.031710024755072085,0.04851846120925765
DFS,1.4814674821883682,0.32500580566662624,1.0650839135237289
DG,0.51456618692753,0.02732815359126868,-0.09636684773443466
DGX,0.5972471753828308,-0.023301788379354257,0.0925846126856527
DHI,1.0507124059789774,0.5428492271941756,0.04171780972883807
DHR,0.8140521452666096,-0.08689630296782222,-0.2506895052790773
DIS,0.9775864110210437,0.09325193109760133,0.24003643233525962
DLR,0.7780480099443501,-0.19647069273472328,-0.22201289234130048
DLTR,0.7093768767649107,0.14174835554244997,0.155213557997718
DOC,0.8651935875236206,0.16005651056168543,0.37764739167738587
DOV,1.0511232352081148,0.16663468246934002,0.47051954404426904
DPZ,0.5661218814176195,0.17323388549912763,-0.2970846591690419
DRI,1.0736658063925584,0.33298970005431355,0.4811856722191058
DTE,0.6557966043612257,-0.18219413773454848,0.43789732195212255
DUK,0.5506281745033502,-0.3496030998443038,0.28852681468515523
DVA,0.6630897775936726,0.17008225752500977,0.19425708816776832
DVN,1.4116576326036068,0.38907955201207445,1.4080958004658073
DXCM,0.9358502901601411,0.3583123795970081,-0.6844268334804919
EA,0.6558752252368696,-0.1129745722078962,-0.281857604541133
EBAY,0.8399172593277769,0.13702102901389077,-0.15923197011361945
ECL,0.9910316242361529,-0.1717897924536598,0.14106686151789516
ED,0.44282527455687726,-0.3878169234034121,0.2287085540573234
EFX,0.9498058935845906,0.21930946813842644,-0.10730154354586693
ERIE,0.6292106567952509,-0.062024082993155406,0.07611962023652098
EVRG,0.6462629684010579,-0.31076971138245174,0.29415990882158954
EW,0.9353911356702269,-0.07027137535944084,-0.2973484766141162
EXC,0.740141717789754,-0.26437562307087265,0.3124837819923977
EXPD,0.7796955134315999,0.010749764434906198,0.08207051671662091
EXPE,1.2160925355293584,0.527791316309269,0.2999503980852561
EXR,0.6646335832800508,0.006334973085838786,0.02184132237975468
F,1.1751706673912619,0.4507900151443086,0.6586488643420783
FANG,1.2369110999367865,0.45126200910328174,1.376872969248201
FAST,0.9067508258775923,0.023946788740873262,0.09280904407095646
FCX,1.5547122964074922,0.47311076428409166,0.7173775816523054
FDS,0.8710869046585019,-0.04237708998631744,-0.02074248546814512
FDX,1.0257333365944765,0.23206124350078494,0.28687593866489075
FE,0.6481970905494001,-0.24469699929256228,0.22000134341403463
FFIV,0.9195000627400862,0.2379448062103895,-0.05484684599950653
FI,0.9921787188982107,-0.11542935061794443,0.14364104040592407
FICO,1.2200455463625839,0.118228458338073,-0.28971742076752915
FIS,1.0250260626334928,-0.11154741668324913,0.19414738880134988
FITB,1.3530855086672977,0.46964591654385074,1.318455115345654
FMC,0.9873585169707736,0.2913317046902676,0.518402440383541
FSLR,0.9663744515430233,0.7562464259634467,-0.1146703970592374
FTNT,1.1714296244393312,-0.03612085004215218,-0.5902785829497468
FTV,0.9966146777627798,0.1546283990959317,0.27933714163965556
GD,0.7843504376537729,-0.10357515560878058,0.4763659357412485
GDDY,1.024539850482586,0.15018716330950532,-0.3823015106858215
GE,1.1131849031829768,0.14506367235187287,0.6089514367870478
GEN,0.6890010965289828,0.05707808603385449,-0.021896632524071407
GILD,0.541014712554911,-0.08679535290884038,0.027492753745484724
GIS,0.33508590371065466,-0.3860750596353653,0.13601740276330807
GL,0.97144032699288,-0.08452985315413544,0.8110487551068064
GLW,1.1286383337564456,0.020216016235305816,0.3140344019713383
GM,1.2046648527953439,0.46635875728412823,0.6755156900331087
GNRC,1.2963850878068128,0.8847814140560637,-0.2591645938831064
GOOG,1.1383914975119604,-0.24897808875247346,-0.39358784286406506
GPC,0.8887319453202998,0.1506074532399454,0.5124495033316228
GPN,1.2232184308968592,0.09042928054082132,0.24359118174685862
GS,1.1828548139453923,0.10217735977789978,0.7620428212142836
GWW,0.9021728535592912,-0.013601602978581175,0.3167337591999569
HAL,1.3883294323086537,0.29159317253813943,1.4490587670646227
HAS,0.9039452782027095,0.23015657752832674,0.1970939380232169
HBAN,1.1838400824722006,0.4358635981053485,1.2881690103873364
HCA,0.9574591809282685,0.15175260668034737,0.3612905776764944
HD,0.9450733141637337,0.08386687933500425,0.03707476291764257
HES,1.2507725281971909,0.055124800170274255,1.2391763713467991
HIG,0.9581313049990785,0.00884259148061351,0.8519536818769302
HII,0.763657295876475,0.07277887588637966,0.5136451957753398
HLT,0.9837224069526745,0.2823100584355418,0.2739381968838276
HOLX,0.7298116995317592,0.02370434184676772,-0.1227509647317911
HON,0.9366631043716644,-0.07498631855921017,0.4122336617628761
HPE,1.157298110744449,0.19953544293691367,0.5723057507588298
HPQ,1.1412107905595512,0.2382344133033574,0.3198212645089923
HRL,0.35531387512627893,-0.1541843307575524,0.12785435409774432
HSIC,0.7405454764445807,0.11035137866848437,0.37750065121505355
HST,1.0937928280196156,0.5562619714205321,0.6621419373125664
HSY,0.5063923327876861,-0.3209784400199468,0.1658723348448886
